PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,FuelCostsPerPeriod,annual,657261263.3546326,676979101.2552719
2020,GenVariableOMCostsInTP,timepoint,90962377.5572219,93691248.88393861
2020,Pumped_Hydro_Fixed_Cost_Annual,annual,0.0,0.0
2020,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2020,StorageEnergyFixedCost,annual,2886364.1265570754,2972955.0503537892
2020,TotalGenCapitalCostsSubsidy,annual,-12687616.217575181,-13068244.704102442
2020,TotalGenFixedCosts,annual,435432175.5744023,448495140.8416345
2020,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2021,FuelCostsPerPeriod,annual,554457893.211944,588224378.9085517
2021,GenVariableOMCostsInTP,timepoint,83928994.194265,89040269.94069578
2021,Pumped_Hydro_Fixed_Cost_Annual,annual,0.0,0.0
2021,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2021,StorageEnergyFixedCost,annual,15519413.278908456,16464545.547593988
2021,TotalGenCapitalCostsSubsidy,annual,-17907758.220632825,-18998340.696269374
2021,TotalGenFixedCosts,annual,464055435.77256894,492316411.8111186
2021,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2022,FuelCostsPerPeriod,annual,418994615.20728743,457846728.8916138
2022,GenVariableOMCostsInTP,timepoint,76335985.98589517,83414392.95840931
2022,Pumped_Hydro_Fixed_Cost_Annual,annual,32663373.651524216,35692150.30010912
2022,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2022,StorageEnergyFixedCost,annual,15811620.016353069,17277784.105609447
2022,TotalGenCapitalCostsSubsidy,annual,-26020861.89737465,-28433698.358532522
2022,TotalGenFixedCosts,annual,486726595.1970494,531859292.1898864
2022,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2023,FuelCostsPerPeriod,annual,402129227.6024373,452599988.42503864
2023,GenVariableOMCostsInTP,timepoint,73443097.53847134,82660853.31323886
2023,Pumped_Hydro_Fixed_Cost_Annual,annual,31712013.253907003,35692150.30010912
2023,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2023,StorageEnergyFixedCost,annual,15572001.167080594,17526424.5028795
2023,TotalGenCapitalCostsSubsidy,annual,-25262972.715897717,-28433698.358532522
2023,TotalGenFixedCosts,annual,480789712.14065266,541133056.7716688
2023,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2024,FuelCostsPerPeriod,annual,395742738.4577861,458774296.78659725
2024,GenVariableOMCostsInTP,timepoint,70752891.64012663,82021992.96015607
2024,Pumped_Hydro_Fixed_Cost_Annual,annual,30788362.38243398,35692150.30010912
2024,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2024,StorageEnergyFixedCost,annual,15358999.202958947,17805289.58318468
2024,TotalGenCapitalCostsSubsidy,annual,-24527157.976599723,-28433698.358532522
2024,TotalGenFixedCosts,annual,475270201.7927675,550968423.2256851
2024,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2025,FuelCostsPerPeriod,annual,381580812.0794402,455627444.97485656
2025,GenVariableOMCostsInTP,timepoint,67723711.0018107,80865652.65117842
2025,Pumped_Hydro_Fixed_Cost_Annual,annual,29891613.963528138,35692150.30010912
2025,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2025,StorageEnergyFixedCost,annual,15178430.12028263,18123839.34282843
2025,TotalGenCapitalCostsSubsidy,annual,-23812774.73456284,-28433698.358532522
2025,TotalGenFixedCosts,annual,469675312.9594748,560816886.062238
2025,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2026,FuelCostsPerPeriod,annual,373778069.2192234,459699878.8016912
2026,GenVariableOMCostsInTP,timepoint,64883916.53597304,79799033.23400186
2026,Pumped_Hydro_Fixed_Cost_Annual,annual,29020984.43060984,35692150.30010912
2026,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2026,StorageEnergyFixedCost,annual,15030077.516900402,18485099.53334574
2026,TotalGenCapitalCostsSubsidy,annual,-23119198.77142023,-28433698.358532522
2026,TotalGenFixedCosts,annual,463202977.9336951,569681236.9476247
2026,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2027,FuelCostsPerPeriod,annual,363890136.02760124,460965137.2318354
2027,GenVariableOMCostsInTP,timepoint,62725116.94595314,79458301.49867284
2027,Pumped_Hydro_Fixed_Cost_Annual,annual,28175713.03942703,35692150.30010912
2027,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2027,StorageEnergyFixedCost,annual,14908858.29952875,18886095.64149048
2027,TotalGenCapitalCostsSubsidy,annual,-22445824.049922552,-28433698.358532522
2027,TotalGenFixedCosts,annual,456753657.4715306,578601867.8493025
2027,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2028,FuelCostsPerPeriod,annual,352123254.10728085,459440979.36187124
2028,GenVariableOMCostsInTP,timepoint,60579013.87388351,79041872.80546302
2028,Pumped_Hydro_Fixed_Cost_Annual,annual,27355061.203327216,35692150.30010912
2028,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2028,StorageEnergyFixedCost,annual,14800568.95813408,19311385.4819889
2028,TotalGenCapitalCostsSubsidy,annual,-21792062.184390828,-28433698.358532522
2028,TotalGenFixedCosts,annual,450280119.97671604,587513425.7570344
2028,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2029,FuelCostsPerPeriod,annual,335002007.9110742,450214685.5448621
2029,GenVariableOMCostsInTP,timepoint,57951424.589116246,77881868.71163908
2029,Pumped_Hydro_Fixed_Cost_Annual,annual,26558311.847890496,35692150.30010912
2029,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2029,StorageEnergyFixedCost,annual,14701650.29801509,19757788.638891883
2029,TotalGenCapitalCostsSubsidy,annual,-21157341.926593035,-28433698.358532522
2029,TotalGenFixedCosts,annual,443802052.91587865,596432848.1001965
2029,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2030,FuelCostsPerPeriod,annual,322657537.8217557,446633492.4974284
2030,GenVariableOMCostsInTP,timepoint,56170718.40156106,77753410.95436576
2030,Pumped_Hydro_Fixed_Cost_Annual,annual,25784768.78435971,35692150.30010912
2030,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2030,StorageEnergyFixedCost,annual,14609224.752151916,20222583.72695464
2030,TotalGenCapitalCostsSubsidy,annual,-20541108.66659518,-28433698.358532522
2030,TotalGenFixedCosts,annual,438571300.8410918,607085249.3519202
2030,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2031,FuelCostsPerPeriod,annual,293991305.1938386,419161304.0182333
2031,GenVariableOMCostsInTP,timepoint,52521274.4120574,74882778.78402655
2031,Pumped_Hydro_Fixed_Cost_Annual,annual,25033756.1013201,35692150.30010912
2031,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2031,StorageEnergyFixedCost,annual,14523618.095703967,20707206.616346117
2031,TotalGenCapitalCostsSubsidy,annual,-19942823.948150657,-28433698.358532522
2031,TotalGenFixedCosts,annual,447035209.72829294,637365317.0736791
2031,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2032,FuelCostsPerPeriod,annual,274495156.5037412,403105391.5049077
2032,GenVariableOMCostsInTP,timepoint,50014373.21460575,73447793.2227975
2032,Pumped_Hydro_Fixed_Cost_Annual,annual,24304617.574097183,35692150.30010912
2032,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2032,StorageEnergyFixedCost,annual,14440778.647169633,21206770.291860096
2032,TotalGenCapitalCostsSubsidy,annual,-19361964.99820452,-28433698.358532522
2032,TotalGenFixedCosts,annual,454178997.563162,666977169.8631399
2032,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2033,FuelCostsPerPeriod,annual,251385019.33753753,380242397.23246306
2033,GenVariableOMCostsInTP,timepoint,47426097.19071947,71736227.30066219
2033,Pumped_Hydro_Fixed_Cost_Annual,annual,23596716.09135649,35692150.30010912
2033,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2033,StorageEnergyFixedCost,annual,14356787.230237106,21715928.846387736
2033,TotalGenCapitalCostsSubsidy,annual,-18798024.270101476,-28433698.358532522
2033,TotalGenFixedCosts,annual,460019083.5877676,695820139.0721225
2033,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2034,FuelCostsPerPeriod,annual,230973950.51851875,359849888.9914098
2034,GenVariableOMCostsInTP,timepoint,45393754.40927939,70721990.28683464
2034,Pumped_Hydro_Fixed_Cost_Annual,annual,22909433.09840436,35692150.30010912
2034,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2034,StorageEnergyFixedCost,annual,14272260.962027121,22235717.540061355
2034,TotalGenCapitalCostsSubsidy,annual,-18250509.000098523,-28433698.358532522
2034,TotalGenFixedCosts,annual,464698842.62259567,723985655.3380913
2034,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2035,FuelCostsPerPeriod,annual,215350170.0422514,345573804.52781993
2035,GenVariableOMCostsInTP,timepoint,43332714.44676116,69536285.89634675
2035,Pumped_Hydro_Fixed_Cost_Annual,annual,22242168.056703262,35692150.30010912
2035,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2035,StorageEnergyFixedCost,annual,13425660.927700529,21544244.539838057
2035,TotalGenCapitalCostsSubsidy,annual,-17718940.776794683,-28433698.358532522
2035,TotalGenFixedCosts,annual,465291029.2812973,746655510.7426009
2035,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2036,FuelCostsPerPeriod,annual,203614562.47337064,336543847.4801595
2036,GenVariableOMCostsInTP,timepoint,41488052.9148415,68573430.02786095
2036,Pumped_Hydro_Fixed_Cost_Annual,annual,21594337.91912938,35692150.30010912
2036,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2036,StorageEnergyFixedCost,annual,13541047.936531764,22381289.020374827
2036,TotalGenCapitalCostsSubsidy,annual,-17202855.123101633,-28433698.358532522
2036,TotalGenFixedCosts,annual,454135363.27051884,750616559.9125493
2036,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2037,FuelCostsPerPeriod,annual,192293867.5667281,327367437.6192858
2037,GenVariableOMCostsInTP,timepoint,40114078.91182346,68291534.16067474
2037,Pumped_Hydro_Fixed_Cost_Annual,annual,20965376.620513957,35692150.30010912
2037,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2037,StorageEnergyFixedCost,annual,16480879.309201723,28057593.814289704
2037,TotalGenCapitalCostsSubsidy,annual,-16701801.090389933,-28433698.358532522
2037,TotalGenFixedCosts,annual,445443316.776059,758337429.3879229
2037,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2038,FuelCostsPerPeriod,annual,183669176.6775839,322065013.06783116
2038,GenVariableOMCostsInTP,timepoint,38852532.386181995,68128150.71654429
2038,Pumped_Hydro_Fixed_Cost_Annual,annual,20354734.58302326,35692150.30010912
2038,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2038,StorageEnergyFixedCost,annual,19314230.135366447,33867619.45288925
2038,TotalGenCapitalCostsSubsidy,annual,-16215340.864456246,-28433698.358532522
2038,TotalGenFixedCosts,annual,438109339.0249488,768227377.8898561
2038,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2039,FuelCostsPerPeriod,annual,177678038.04657364,320906300.6699365
2039,GenVariableOMCostsInTP,timepoint,37630993.31846711,67965759.80425316
2039,Pumped_Hydro_Fixed_Cost_Annual,annual,19761878.235944916,35692150.30010912
2039,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2039,StorageEnergyFixedCost,annual,21923899.09143325,39597000.456796184
2039,TotalGenCapitalCostsSubsidy,annual,-15743049.38296723,-28433698.358532522
2039,TotalGenFixedCosts,annual,430711259.7409207,777912445.1166936
2039,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2040,FuelCostsPerPeriod,annual,172850051.28030047,321552012.1164513
2040,GenVariableOMCostsInTP,timepoint,36650002.758815706,68179801.18536298
2040,Pumped_Hydro_Fixed_Cost_Annual,annual,19186289.54946108,35692150.30010912
2040,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2040,StorageEnergyFixedCost,annual,24322018.977824148,45246119.87746165
2040,TotalGenCapitalCostsSubsidy,annual,-15284513.964045854,-28433698.358532522
2040,TotalGenFixedCosts,annual,423269410.086798,787405785.9551517
2040,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2041,FuelCostsPerPeriod,annual,131060349.34915516,251125182.15440127
2041,GenVariableOMCostsInTP,timepoint,33545794.183066685,64277210.58711629
2041,Pumped_Hydro_Fixed_Cost_Annual,annual,18627465.58200105,35692150.30010912
2041,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2041,StorageEnergyFixedCost,annual,27925015.74773427,53507217.86672468
2041,TotalGenCapitalCostsSubsidy,annual,-16566413.037924752,-31742960.494563334
2041,TotalGenFixedCosts,annual,433998379.50397205,831585774.4076166
2041,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2042,FuelCostsPerPeriod,annual,103061012.16157691,203399823.42514333
2042,GenVariableOMCostsInTP,timepoint,31457331.258985348,62083764.64877483
2042,Pumped_Hydro_Fixed_Cost_Annual,annual,18084918.040777717,35692150.30010912
2042,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2042,StorageEnergyFixedCost,annual,31238077.958625883,61651049.29266541
2042,TotalGenCapitalCostsSubsidy,annual,-17780896.60282484,-35092137.69107201
2042,TotalGenFixedCosts,annual,439178208.4058498,866756188.0905348
2042,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2043,FuelCostsPerPeriod,annual,84390843.136224,171549208.56654066
2043,GenVariableOMCostsInTP,timepoint,29967050.340858325,60916843.32089907
2043,Pumped_Hydro_Fixed_Cost_Annual,annual,17558172.855123997,35692150.30010912
2043,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2043,StorageEnergyFixedCost,annual,34278694.1806134,69681527.5075095
2043,TotalGenCapitalCostsSubsidy,annual,-18869218.969587974,-38357237.11488931
2043,TotalGenFixedCosts,annual,453300973.3747969,921467547.129052
2043,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2044,FuelCostsPerPeriod,annual,71623802.98541243,149964337.92875838
2044,GenVariableOMCostsInTP,timepoint,28918967.293130685,60549895.466749184
2044,Pumped_Hydro_Fixed_Cost_Annual,annual,17046769.762256306,35692150.30010912
2044,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2044,StorageEnergyFixedCost,annual,37062198.628393225,77600013.51259053
2044,TotalGenCapitalCostsSubsidy,annual,-19864593.279855985,-41592046.99091994
2044,TotalGenFixedCosts,annual,465982317.6070163,975663492.2146925
2044,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2045,FuelCostsPerPeriod,annual,37297280.6582588,80434989.77073283
2045,GenVariableOMCostsInTP,timepoint,27781936.525455773,59914281.70625527
2045,Pumped_Hydro_Fixed_Cost_Annual,annual,16550261.90510321,35692150.30010912
2045,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2045,StorageEnergyFixedCost,annual,39602781.51974736,85407012.79593386
2045,TotalGenCapitalCostsSubsidy,annual,-20766204.33442297,-44784214.92764769
2045,TotalGenFixedCosts,annual,470687019.8494228,1015079516.7535009
2045,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
